,Unnamed: 0.1,date,vac_number
0,0.0,2022-10-14,1436.0
1,1.0,2022-10-17,1387.0
2,2.0,2022-10-18,1418.0
3,3.0,2022-10-19,1452.0
4,4.0,2022-10-20,1454.0
5,5.0,2022-10-21,1455.0
6,6.0,2022-10-24,1397.0
7,7.0,2022-10-25,1449.0
8,8.0,2022-10-26,1494.0
9,9.0,2022-10-27,1507.0
10,10.0,2022-10-28,1497.0
11,11.0,2022-10-31,1432.0
12,12.0,2022-11-01,1442.0
13,13.0,2022-11-06,1425.0
14,,2022-11-07,1444.0
15,,2022-11-08,1480.0
16,,2022-11-09,1481.0
17,,2023-03-14,1623.0
